CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH,Origin_left_X,Origin_left_Y,Origin_right_X,Origin_right_Y
916,0,245,231,316,235,31.40063693621516,11.045361017187261,32.01562118716424,11.0,227,222,299,225
916,0,247,230,318,234,31.40063693621516,11.180339887498947,33.060550509633075,12.041594578792294,228,221,300,224
1172,0,253,232,324,234,32.38826948140329,12.165525060596437,33.060550509633075,11.045361017187261,228,221,301,225
1338,0,254,232,327,234,31.40063693621516,12.165525060596437,32.0624390837628,12.0,229,221,302,225
1365,0,255,233,328,235,31.57530680769389,11.045361017187261,32.0624390837628,11.0,230,222,303,227
1365,0,259,232,332,235,32.55764119219941,12.165525060596437,34.0147027033899,11.0,232,221,305,226
1365,0,260,234,333,237,31.57530680769389,9.219544457292889,30.01666203960727,10.04987562112089,234,223,307,230
1365,0,264,234,336,236,32.55764119219941,11.045361017187261,31.016124838541643,12.0,237,223,310,228
1365,0,265,232,338,235,32.38826948140329,12.165525060596437,33.060550509633075,12.041594578792294,239,221,313,226
1364,1,269,233,342,236,33.734255586866006,11.40175425099138,33.015148038438355,10.04987562112089,242,222,317,228
1361,3,271,234,345,237,32.55764119219941,11.40175425099138,32.01562118716424,10.0,245,223,319,229
1351,12,273,234,346,237,32.55764119219941,11.180339887498947,31.0,10.0,247,222,321,229
1348,17,273,235,346,239,30.413812651491096,10.19803902718557,30.0,9.0,249,225,321,231
1348,17,274,237,329,243,30.413812651491096,9.055385138137417,30.0,9.0,250,227,321,233
1348,17,273,236,347,239,31.57530680769389,10.19803902718557,32.01562118716424,10.0,248,225,321,231
1348,17,274,235,347,238,33.54101966249684,11.180339887498947,31.064449134018133,11.0,247,224,322,229
1348,17,274,236,347,238,33.54101966249684,10.19803902718557,32.01562118716424,11.045361017187261,247,225,322,230
1348,17,275,236,347,238,32.7566787083184,11.180339887498947,32.01562118716424,11.0,249,224,322,230
1348,17,275,236,347,238,33.54101966249684,11.180339887498947,32.0624390837628,11.0,248,225,322,230
1348,17,275,237,347,238,33.734255586866006,11.180339887498947,31.064449134018133,12.0,248,225,323,230
1348,17,275,236,348,239,33.54101966249684,10.19803902718557,32.01562118716424,10.0,248,225,323,231
1348,17,276,236,349,239,33.54101966249684,11.180339887498947,31.016124838541643,11.0,249,224,324,231
1348,17,277,236,350,239,33.54101966249684,10.19803902718557,32.0624390837628,11.045361017187261,250,225,324,231
1348,17,277,236,350,239,33.54101966249684,11.180339887498947,31.016124838541643,11.0,250,225,325,231
1348,17,277,236,350,238,33.734255586866006,11.180339887498947,33.060550509633075,12.0,250,225,324,230
1348,17,277,236,349,239,33.734255586866006,11.180339887498947,31.016124838541643,11.0,250,225,325,231
1348,17,276,240,343,244,30.14962686336267,7.280109889280519,29.017236257093817,7.0710678118654755,255,232,325,236
1348,17,278,237,350,239,31.40063693621516,10.19803902718557,31.016124838541643,10.0,253,227,326,232
1348,17,278,236,351,238,32.55764119219941,10.19803902718557,31.064449134018133,11.0,252,225,327,230
1348,17,279,236,351,239,33.54101966249684,10.19803902718557,31.016124838541643,10.0,252,225,327,232
1348,17,279,236,352,238,32.55764119219941,11.180339887498947,32.01562118716424,11.045361017187261,254,225,327,230
1348,17,279,236,352,238,33.54101966249684,11.180339887498947,32.0624390837628,11.045361017187261,253,225,327,230
1348,17,279,236,351,238,32.7566787083184,11.180339887498947,31.016124838541643,11.0,253,224,327,230
1348,17,279,236,351,239,32.55764119219941,10.19803902718557,31.016124838541643,11.0,254,225,326,231
1348,17,278,236,351,239,32.55764119219941,10.19803902718557,31.016124838541643,11.0,252,225,327,231
1348,17,278,236,351,239,32.55764119219941,11.180339887498947,31.016124838541643,11.0,253,224,327,230
1348,17,279,236,352,239,32.55764119219941,10.19803902718557,31.016124838541643,11.0,253,225,327,231
1348,17,280,236,353,239,31.780497164141405,11.180339887498947,32.01562118716424,11.0,255,224,328,230
1348,17,282,235,354,238,33.54101966249684,10.19803902718557,31.064449134018133,11.0,256,224,330,230
1348,17,284,236,356,239,32.55764119219941,10.19803902718557,30.01666203960727,10.04987562112089,258,225,332,231
1365,143,287,238,359,240,32.55764119219941,11.40175425099138,32.0624390837628,11.0,261,226,334,232
1365,426,287,239,359,242,32.55764119219941,10.19803902718557,31.064449134018133,11.0,262,228,334,233
1363,508,287,242,359,244,33.54101966249684,11.180339887498947,32.0624390837628,12.0,261,231,335,235
1363,508,287,244,357,246,30.413812651491096,9.055385138137417,30.0,10.0,263,234,332,239
1358,580,283,246,348,251,30.26549190084311,7.0710678118654755,29.017236257093817,8.0,260,237,331,242
1344,677,281,246,353,250,30.413812651491096,9.055385138137417,30.0,9.055385138137417,258,236,330,241
