CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH
10,14,275,220,348,226,31.780497164141405,11.180339887498947,32.0624390837628,12.041594578792294
10,14,276,220,349,227,31.780497164141405,11.180339887498947,32.0624390837628,11.045361017187261
10,14,275,219,348,227,32.7566787083184,11.180339887498947,33.13608305156178,12.041594578792294
10,14,275,219,348,226,32.7566787083184,11.180339887498947,33.13608305156178,12.041594578792294
10,14,275,220,348,226,31.57530680769389,12.165525060596437,33.13608305156178,12.041594578792294
10,14,274,221,347,227,32.7566787083184,11.180339887498947,33.13608305156178,12.041594578792294
10,14,272,221,343,228,29.27456233660889,8.06225774829855,31.016124838541643,9.055385138137417
10,14,270,222,344,227,31.57530680769389,10.19803902718557,33.13608305156178,10.04987562112089
10,14,268,221,341,225,31.40063693621516,10.04987562112089,33.24154027718932,11.045361017187261
10,14,267,222,341,225,30.59411708155671,10.19803902718557,33.24154027718932,11.045361017187261
10,14,268,222,341,225,30.59411708155671,11.180339887498947,32.2490309931942,11.045361017187261
10,14,268,224,343,227,29.27456233660889,9.055385138137417,31.144823004794876,9.055385138137417
10,14,268,222,342,225,30.413812651491096,10.19803902718557,33.24154027718932,11.045361017187261
10,14,269,222,343,226,31.57530680769389,11.180339887498947,33.24154027718932,11.045361017187261
10,14,269,222,343,226,30.413812651491096,11.045361017187261,33.13608305156178,11.045361017187261
10,14,270,221,343,225,31.40063693621516,11.045361017187261,33.13608305156178,12.041594578792294
10,14,269,222,343,226,31.40063693621516,11.045361017187261,33.24154027718932,12.041594578792294
10,14,269,223,343,226,31.57530680769389,10.04987562112089,34.23448553724738,11.045361017187261
10,14,268,224,343,227,30.26549190084311,9.055385138137417,31.144823004794876,9.055385138137417
10,14,269,222,342,225,31.40063693621516,10.04987562112089,32.14031735997639,12.041594578792294
10,14,269,222,343,225,31.57530680769389,11.045361017187261,33.24154027718932,12.165525060596437
10,14,269,220,342,224,31.57530680769389,11.180339887498947,33.24154027718932,12.041594578792294
10,14,270,220,343,225,32.55764119219941,11.045361017187261,33.24154027718932,12.165525060596437
